2212
0 duplicate normalized root spellings
2212 records written to verbdata_map.txt
WARNING: vals wrong length: ('I!Suci!r', u'04', u'0061') => [u'Suc']
WARNING: vals wrong length: ('Ikza!', u'01', u'0694') => [u'Ikz']
WARNING: vals wrong length: ('IKa!', u'01', u'0150') => [u'IK']
WARNING: vals wrong length: ('IKi!', u'01', u'0151') => [u'INK']
WARNING: vals wrong length: ('IN', u'04', u'0038') => [u'I']
WARNING: vals wrong length: ('Ija!', u'01', u'0207') => [u'Ij']
WARNING: vals wrong length: ('Iji!', u'01', u'0208') => [u'IYj']
WARNING: vals wrong length: ('Iqa!', u'02', u'0009') => [u'Iq']
WARNING: vals wrong length: ('Iqa!', u'10', u'0183') => [u'Iq']
WARNING: vals wrong length: ('Ira!', u'02', u'0008') => [u'Ir']
WARNING: vals wrong length: ('Ira!', u'10', u'0342') => [u'Ir']
WARNING: vals wrong length: ('Irkzya!', u'01', u'0587') => [u'Irkzy']
WARNING: vals wrong length: ('Irzya!', u'01', u'0588') => [u'Irzy']
WARNING: vals wrong length: ('ISa!', u'02', u'0010') => [u'IS']
WARNING: vals wrong length: ('Iza!', u'01', u'0695') => [u'Iz']
WARNING: vals wrong length: ('Iza!', u'01', u'0780') => [u'Iz']
WARNING: vals wrong length: ('Iha!', u'01', u'0719') => [u'Ih']
WARNING: vals wrong length: ('u!Cfdi!r', u'07', u'0008') => [u'Cfd']
WARNING: vals wrong length: ('u!tfdi!r', u'07', u'0009') => [u'tfd']
WARNING: vals wrong length: ('u!Drasa!', u'09', u'0060') => [u'Dras']
WARNING: vals wrong length: ('u!Drasa!', u'10', u'0270') => [u'Dras']
WARNING: vals wrong length: ('u!bundi!r', u'01', u'1017') => [u'bund']
WARNING: vals wrong length: ('ukza!', u'01', u'0745') => [u'ukz']
WARNING: vals wrong length: ('uKa!', u'01', u'0136') => [u'uK']
WARNING: vals wrong length: ('uKi!', u'01', u'0137') => [u'uNK']
WARNING: vals wrong length: ('uGrasa!', u'10', u'0271') => [u'uDras']
WARNING: vals wrong length: ('uN', u'01', u'1102') => [u'u']
WARNING: vals wrong length: ('uca!', u'04', u'0135') => [u'uc']
WARNING: vals wrong length: ('uCi!', u'01', u'0243') => [u'uYC']
WARNING: vals wrong length: ('uCi!', u'06', u'0014') => [u'uYC']
WARNING: vals wrong length: ('uCI!', u'01', u'0244') => [u'uC']
WARNING: vals wrong length: ('uCI!', u'06', u'0015') => [u'uC']
WARNING: vals wrong length: ('ujJa!', u'06', u'0024') => [u'ujJ']
WARNING: vals wrong length: ('uWa!', u'01', u'0392') => [u'uW']
WARNING: vals wrong length: ('uWa!', u'01', u'0852') => [u'uW']
WARNING: vals wrong length: ('undI!', u'07', u'0020') => [u'und']
WARNING: vals wrong length: ('ubja!', u'06', u'0023') => [u'ubj']
WARNING: vals wrong length: ('uBa!', u'06', u'0044') => [u'uB']
WARNING: vals wrong length: ('umBa!', u'06', u'0045') => [u'umB']
WARNING: vals wrong length: ('urda!', u'01', u'0020') => [u'urd']
WARNING: vals wrong length: ('urvI!', u'01', u'0650') => [u'urv']
WARNING: vals wrong length: ('uza!', u'01', u'0792') => [u'uz']
WARNING: vals wrong length: ('uhi!r', u'01', u'0840') => [u'uh']
WARNING: vals wrong length: ('UWa!', u'01', u'0391') => [u'UW']
WARNING: vals wrong length: ('Una', u'10', u'0430') => [u'Una']
WARNING: vals wrong length: ('UyI!', u'01', u'0556') => [u'Uy']
WARNING: vals wrong length: ('Urja!', u'10', u'0023') => [u'Urj']
WARNING: vals wrong length: ('UrRuY', u'02', u'0034') => [u'UrRu']
WARNING: vals wrong length: ('Uza!', u'01', u'0779') => [u'Uz']
WARNING: vals wrong length: ('Uha!', u'01', u'0735') => [u'Uh']
WARNING: vals wrong length: ('f', u'01', u'1086') => [u'f']
WARNING: vals wrong length: ('f', u'03', u'0017') => [u'f']
WARNING: vals wrong length: ('f', u'05', u'0038') => [u'f']
WARNING: vals wrong length: ('fca!', u'06', u'0022') => [u'fc']
WARNING: vals wrong length: ('fCa!', u'06', u'0016') => [u'fC']
WARNING: vals wrong length: ('fja!', u'01', u'0200') => [u'fj']
WARNING: vals wrong length: ('fji!', u'01', u'0201') => [u'fYj']
WARNING: vals wrong length: ('fRu!', u'08', u'0005') => [u'fR']
WARNING: vals wrong length: ('fDu!', u'04', u'0160') => [u'fD']
WARNING: vals wrong length: ('fDu!', u'05', u'0027') => [u'fD']
WARNING: vals wrong length: ('fPa!', u'06', u'0040') => [u'fP']
WARNING: vals wrong length: ('fmPa!', u'06', u'0041') => [u'fmP']
WARNING: vals wrong length: ('fzI!', u'06', u'0007') => [u'fz']
WARNING: vals wrong length: ('F', u'09', u'0032') => [u'F']
WARNING: vals wrong length: ('ejf!', u'01', u'0203') => [u'ej']
WARNING: vals wrong length: ('ejf!', u'01', u'0267') => [u'ej']
WARNING: vals wrong length: ('eWa!', u'01', u'0300') => [u'eW']
WARNING: vals wrong length: ('eDa!', u'01', u'0002') => [u'eD']
WARNING: vals wrong length: ('ezf!', u'01', u'0701') => [u'ez']
WARNING: vals wrong length: ('ezf!', u'01', u'0705') => [u'ez']
WARNING: vals wrong length: ('o!pyAyI!', u'01', u'0561') => [u'pyAy']
WARNING: vals wrong length: ('o!lajI!', u'06', u'0010') => [u'laj']
WARNING: vals wrong length: ('o!laqi!', u'10', u'0013') => [u'laRq']
WARNING: vals wrong length: ('o!laqi!', u'10', u'0014') => [u'laRq']
WARNING: vals wrong length: ('o!lasjI!', u'06', u'0011') => [u'lasj']
WARNING: vals wrong length: ('o!vijI!', u'06', u'0009') => [u'vij']
WARNING: vals wrong length: ('o!vijI!', u'07', u'0023') => [u'vij']
WARNING: vals wrong length: ('o!vE', u'01', u'1070') => [u'vE']
WARNING: vals wrong length: ('o!vraScU!', u'06', u'0012') => [u'vraSc']
WARNING: vals wrong length: ('o!hAk', u'03', u'0009') => [u'hA']
WARNING: vals wrong length: ('o!hAN', u'03', u'0008') => [u'hA']
WARNING: vals wrong length: ('oKf!', u'01', u'0129') => [u'oK']
WARNING: vals wrong length: ('oRf!', u'01', u'0523') => [u'oR']
WARNING: vals wrong length: ('kaka!', u'01', u'0095') => [u'kak']
WARNING: vals wrong length: ('kaki!', u'01', u'0099') => [u'kaNk']
WARNING: vals wrong length: ('kaKa!', u'01', u'0128') => [u'kaK']
WARNING: vals wrong length: ('kaKe!', u'01', u'0893') => [u'kaK']
WARNING: vals wrong length: ('kage!', u'01', u'0900') => [u'kag']
WARNING: vals wrong length: ('kaca!', u'01', u'0192') => [u'kac']
WARNING: vals wrong length: ('kaci!', u'01', u'0193') => [u'kaYc']
WARNING: vals wrong length: ('kaja!', u'01', u'0265') => [u'kaj']
WARNING: vals wrong length: ('kawI!', u'01', u'0330') => [u'kaw']
WARNING: vals wrong length: ('kawe!', u'01', u'0359') => [u'kaw']
WARNING: vals wrong length: ('kaWa!', u'01', u'0385') => [u'kaW']
WARNING: vals wrong length: ('kaWi!', u'01', u'0297') => [u'kaRW']
WARNING: vals wrong length: ('kaWi!', u'10', u'0385') => [u'kaRW']
WARNING: vals wrong length: ('kaqa!', u'01', u'0417') => [u'kaq']
WARNING: vals wrong length: ('kaqa!', u'06', u'0108') => [u'kaq']
WARNING: vals wrong length: ('kaqi!', u'01', u'0316') => [u'kaRq']
WARNING: vals wrong length: ('kaqi!', u'01', u'0418') => [u'kaRq']
WARNING: vals wrong length: ('kaqi!', u'10', u'0067') => [u'kaRq']
WARNING: vals wrong length: ('kaqqa!', u'01', u'0404') => [u'kaqq']
WARNING: vals wrong length: ('kaRa!', u'01', u'0517') => [u'kaR']
WARNING: vals wrong length: ('kaRa!', u'01', u'0903') => [u'kaR']
WARNING: vals wrong length: ('kaRa!', u'10', u'0240') => [u'kaR']
WARNING: vals wrong length: ('katTa!', u'01', u'0037') => [u'katT']
WARNING: vals wrong length: ('katra', u'10', u'0456') => [u'katra']
WARNING: vals wrong length: ('kaTa', u'10', u'0389') => [u'kaTa']
WARNING: vals wrong length: ('kada!', u'01', u'0881') => [u'kad']
WARNING: vals wrong length: ('kadi!', u'01', u'0073') => [u'kand']
WARNING: vals wrong length: ('kadi!', u'01', u'0878') => [u'kand']
WARNING: vals wrong length: ('kanI!', u'01', u'0531') => [u'kan']
WARNING: vals wrong length: ('kapa!', u'01', u'0877') => [u'kap']
WARNING: vals wrong length: ('kapi!', u'01', u'0435') => [u'kamp']
WARNING: vals wrong length: ('kabf!', u'01', u'0440') => [u'kab']
WARNING: vals wrong length: ('kamu!', u'01', u'0511') => [u'kam']
WARNING: vals wrong length: ('karja!', u'01', u'0260') => [u'karj']
WARNING: vals wrong length: ('karRa!', u'10', u'0470') => [u'karR']
WARNING: vals wrong length: ('karta!', u'10', u'0457') => [u'kart']
WARNING: vals wrong length: ('karda!', u'01', u'0061') => [u'kard']
WARNING: vals wrong length: ('karba!', u'01', u'0486') => [u'karb']
WARNING: vals wrong length: ('karva!', u'01', u'0664') => [u'karv']
WARNING: vals wrong length: ('kala!', u'01', u'0570') => [u'kal']
WARNING: vals wrong length: ('kala!', u'10', u'0093') => [u'kal']
WARNING: vals wrong length: ('kala', u'10', u'0404') => [u'kala']
WARNING: vals wrong length: ('kalla!', u'01', u'0571') => [u'kall']
WARNING: vals wrong length: ('kaSa!', u'02', u'0016') => [u'kaS']
WARNING: vals wrong length: ('kaza!', u'01', u'0781') => [u'kaz']
WARNING: vals wrong length: ('kasa!', u'01', u'0996') => [u'kas']
WARNING: vals wrong length: ('kasa!', u'02', u'0015') => [u'kas']
WARNING: vals wrong length: ('kasi!', u'02', u'0014') => [u'kaMs']
WARNING: vals wrong length: ('kAkzi!', u'01', u'0760') => [u'kANkz']
WARNING: vals wrong length: ('kAci!', u'01', u'0194') => [u'kAYc']
WARNING: vals wrong length: ('kAla', u'10', u'0422') => [u'kAla']
WARNING: vals wrong length: ('kASf!', u'01', u'0734') => [u'kAS']
WARNING: vals wrong length: ('kASf!', u'04', u'0058') => [u'kAS']
WARNING: vals wrong length: ('kAsf!', u'01', u'0710') => [u'kAs']
WARNING: vals wrong length: ('ki', u'03', u'0020') => [u'ki']
WARNING: vals wrong length: ('kiwa!', u'01', u'0338') => [u'kiw']
WARNING: vals wrong length: ('kiwa!', u'01', u'0358') => [u'kiw']
WARNING: vals wrong length: ('kita!', u'01', u'1148') => [u'kit']
WARNING: vals wrong length: ('kita!', u'03', u'0021') => [u'kit']
WARNING: vals wrong length: ('kila!', u'06', u'0080') => [u'kil']
WARNING: vals wrong length: ('kIwa!', u'10', u'0142') => [u'kIw']
WARNING: vals wrong length: ('kIla!', u'01', u'0602') => [u'kIl']
WARNING: vals wrong length: ('ku', u'02', u'0037') => [u'ku']
WARNING: vals wrong length: ('kuMSa!', u'04', u'0128') => [u'kuMS']
WARNING: vals wrong length: ('kuMsa!', u'04', u'0127') => [u'kuMs']
WARNING: vals wrong length: ('kuka!', u'01', u'0096') => [u'kuk']
WARNING: vals wrong length: ('kuN', u'01', u'1103') => [u'ku']
WARNING: vals wrong length: ('kuN', u'06', u'0136') => [u'ku']
WARNING: vals wrong length: ('kuca!', u'01', u'0211') => [u'kuc']
WARNING: vals wrong length: ('kuca!', u'01', u'0993') => [u'kuc']
WARNING: vals wrong length: ('kuca!', u'06', u'0095') => [u'kuc']
WARNING: vals wrong length: ('kuji!', u'01', u'0255') => [u'kuYj']
WARNING: vals wrong length: ('kuju!', u'01', u'0226') => [u'kuj']
WARNING: vals wrong length: ('kuYca!', u'01', u'0212') => [u'kuYc']
WARNING: vals wrong length: ('kuwa!', u'06', u'0093') => [u'kuw']
WARNING: vals wrong length: ('kuwa!', u'10', u'0222') => [u'kuw']
WARNING: vals wrong length: ('kuwi!', u'01', u'0363') => [u'kuRw']
WARNING: vals wrong length: ('kuwwa!', u'10', u'0034') => [u'kuww']
WARNING: vals wrong length: ('kuwwa!', u'10', u'0226') => [u'kuww']
WARNING: vals wrong length: ('kuWi!', u'01', u'0397') => [u'kuRW']
WARNING: vals wrong length: ('kuWi!', u'10', u'0070') => [u'kuRW']
WARNING: vals wrong length: ('kuqa!', u'06', u'0113') => [u'kuq']
WARNING: vals wrong length: ('kuqi!', u'01', u'0303') => [u'kuRq']
WARNING: vals wrong length: ('kuqi!', u'01', u'0362') => [u'kuRq']
WARNING: vals wrong length: ('kuqi!', u'10', u'0009') => [u'kuRq']
