:aMS ppfactn:[aMSayAm aMSApayAm]
:aMs ppfactn:[aMsApayAm aMsayAm]
:aMh ppfactn:[aMhayAm]
:aG ppfactn:[aGayAm]
:aNk ppfactn:[aNkayAm]
:aNK ppfactn:[aNKayAm]
:aNg ppfactn:[aNgayAm]
:aYc ppfactn:[aYcayAm]
:aww ppfactn:[awwayAm]
:anD ppfactn:[anDayAm]
:arT ppfactn:[arTayAm]
:avalok ppfactn:[avalokayAm avalokAm]
:As ppfactn:[AsAm]
:il ppfactn:[elayAm]
:I ppfactn:[eAm]
:Ikz ppfactn:[IkzAm]
:IK ppfactn:[IKAm]
:INK ppfactn:[INKAm]
:Ij ppfactn:[IjAm]
:Iq ppfactn:[IqAm]
:Int ppfactn:[IntAm]
:Ir ppfactn:[IrAm]
:Irzy ppfactn:[IrzyAm]
:IS ppfactn:[ISAm]
:Iz ppfactn:[IzAm]
:Ih ppfactn:[IhAm]
:uDras ppfactn:[uDrAsayAm uDrasAm]
:upAr ppfactn:[upArAm]
:ulaq ppfactn:[ulAqayAm]
:uz ppfactn:[ozAm]
:Uy ppfactn:[UyAm]
:Urd ppfactn:[UrdAm]
:Urv ppfactn:[UrvAm]
:Uz ppfactn:[UzAm]
:Uh ppfactn:[UhAm]
:oj ppfactn:[ojayAm]
:olaRq ppfactn:[olaRqayAm olaRqAm]
:kaww ppfactn:[kawwayAm]
:kaR ppfactn:[kARayAm]
:kaRW ppfactn:[kaRWayAm]
:kaRq ppfactn:[kaRqayAm]
:katr ppfactn:[katrayAm]
:kaT ppfactn:[kaTayAm]
:karR ppfactn:[karRayAm]
:kartr ppfactn:[kartrayAm]
:kal ppfactn:[kAlayAm kalayAm]
:kav ppfactn:[kAvayAm]
:kAs ppfactn:[kAsAm]
:kil ppfactn:[kelayAm]
:kizk ppfactn:[kizkayAm]
:kIw ppfactn:[kIwayAm]
:kIrt ppfactn:[kIrtayAm]
:kuw ppfactn:[kowayAm]
:kuww ppfactn:[kuwwayAm]
:kuR ppfactn:[koRayAm kuRayAm]
:kuRW ppfactn:[kuRWayAm]
